wp_id,articolo_uuid,id_numero,numero_uuid,action,status,note
1440,,OEL-131,,set,dry,
1442,,OEL-131,,set,dry,
1444,,OEL-131,,set,dry,
1446,,OEL-131,,set,dry,
1449,,OEL-131,,set,dry,
1451,,OEL-131,,set,dry,
1453,,OEL-131,,set,dry,
1455,,OEL-131,,set,dry,
1457,,null,,null,dry,
1560,,null,,null,dry,
1563,,null,,null,dry,
1591,,OEL-1,dry-uuid-oel-1,set,dry,
1637,,OEL-1,dry-uuid-oel-1,set,dry,
2402,,OEL-7,,set,dry,
1707,,OEL-2,,set,dry,
13522,,null,,null,dry,
1794,,OEL-1,dry-uuid-oel-1,set,dry,
1803,,OEL-1,dry-uuid-oel-1,set,dry,
24153,,null,,null,dry,
1940,,null,,null,dry,
1955,,OEL-2,,set,dry,
1957,,OEL-2,,set,dry,
1960,,OEL-2,,set,dry,
2051,,OEL-3,,set,dry,
2053,,OEL-3,,set,dry,
2055,,OEL-3,,set,dry,
2057,,OEL-3,,set,dry,
2069,,OEL-3,,set,dry,
2175,,null,,null,dry,
2192,,OEL-4,,set,dry,
2196,,OEL-4,,set,dry,
2199,,OEL-4,,set,dry,
2201,,OEL-4,,set,dry,
2203,,OEL-4,,set,dry,
2205,,null,,null,dry,
2212,,OEL-4,,set,dry,
2214,,OEL-4,,set,dry,
2218,,OEL-4,,set,dry,
2220,,OEL-4,,set,dry,
2222,,OEL-4,,set,dry,
2238,,OEL-5,,set,dry,
2243,,OEL-5,,set,dry,
2252,,OEL-5,,set,dry,
2257,,OEL-5,,set,dry,
2259,,OEL-5,,set,dry,
2263,,OEL-5,,set,dry,
2265,,OEL-5,,set,dry,
2270,,OEL-5,,set,dry,
2272,,OEL-5,,set,dry,
2274,,OEL-5,,set,dry,
2291,,null,,null,dry,
2294,,null,,null,dry,
2299,,null,,null,dry,
2343,,OEL-6,,set,dry,
2348,,OEL-6,,set,dry,
2410,,OEL-7,,set,dry,
2352,,OEL-6,,set,dry,
2354,,OEL-6,,set,dry,
2356,,OEL-6,,set,dry,
2358,,OEL-6,,set,dry,
2361,,OEL-6,,set,dry,
2363,,OEL-6,,set,dry,
2366,,OEL-6,,set,dry,
2368,,OEL-6,,set,dry,
2380,,OEL-6,,set,dry,
2391,,OEL-7,,set,dry,
2394,,OEL-7,,set,dry,
2396,,OEL-7,,set,dry,
2398,,OEL-7,,set,dry,
2400,,OEL-7,,set,dry,
2404,,OEL-7,,set,dry,
2406,,OEL-7,,set,dry,
2416,,OEL-7,,set,dry,
2427,,OEL-8,,set,dry,
2431,,OEL-8,,set,dry,
2433,,OEL-8,,set,dry,
2437,,OEL-8,,set,dry,
2439,,OEL-8,,set,dry,
2441,,OEL-8,,set,dry,
2443,,OEL-8,,set,dry,
2445,,OEL-8,,set,dry,
2641,,OEL-5,,set,dry,
2859,,null,,null,dry,
2862,,null,,null,dry,
2887,,null,,null,dry,
3002,,OEL-9,,set,dry,
3009,,OEL-9,,set,dry,
3013,,OEL-9,,set,dry,
3015,,OEL-9,,set,dry,
3018,,OEL-9,,set,dry,
3023,,OEL-9,,set,dry,
3027,,OEL-9,,set,dry,
3031,,OEL-9,,set,dry,
3035,,OEL-9,,set,dry,
3038,,OEL-9,,set,dry,
3040,,OEL-9,,set,dry,
3046,,OEL-9,,set,dry,
3048,,OEL-9,,set,dry,
3050,,OEL-9,,set,dry,
3116,,OEL-10,,set,dry,
3121,,OEL-10,,set,dry,
3136,,OEL-10,,set,dry,
3139,,OEL-10,,set,dry,
3141,,OEL-10,,set,dry,
3143,,OEL-10,,set,dry,
3146,,OEL-10,,set,dry,
3149,,OEL-10,,set,dry,
3150,,OEL-10,,set,dry,
3153,,OEL-10,,set,dry,
3158,,OEL-10,,set,dry,
3160,,OEL-10,,set,dry,
3347,,OEL-139,,set,dry,
3371,,OEL-4,,set,dry,
9921,,OEL-49,,set,dry,
6441,,null,,null,dry,
3646,,OEL-100,,set,dry,
3648,,OEL-100,,set,dry,
3650,,OEL-100,,set,dry,
3984,,OEL-131,,set,dry,
3988,,OEL-131,,set,dry,
3992,,OEL-131,,set,dry,
3997,,OEL-131,,set,dry,
4003,,OEL-131,,set,dry,
4013,,null,,null,dry,
4017,,null,,null,dry,
4023,,OEL-131,,set,dry,
4032,,OEL-131,,set,dry,
4039,,OEL-131,,set,dry,
4047,,OEL-131,,set,dry,
4054,,OEL-131,,set,dry,
4058,,OEL-131,,set,dry,
4063,,OEL-131,,set,dry,
4070,,OEL-131,,set,dry,
4078,,null,,null,dry,
4081,,null,,null,dry,
4151,,OEL-132,,set,dry,
23135,,null,,null,dry,
4369,,null,,null,dry,
4704,,null,,null,dry,
4410,,null,,null,dry,
4417,,null,,null,dry,
4419,,OEL-125,,set,dry,
4426,,OEL-125,,set,dry,
4434,,OEL-105,,set,dry,
4439,,OEL-105,,set,dry,
4442,,OEL-109,,set,dry,
4444,,OEL-127,,set,dry,
4605,,null,,null,dry,
4611,,null,,null,dry,
4618,,null,,null,dry,
4625,,null,,null,dry,
4668,,null,,null,dry,
4639,,null,,null,dry,
4641,,null,,null,dry,
4647,,null,,null,dry,
4651,,null,,null,dry,
4654,,null,,null,dry,
4673,,null,,null,dry,
